name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err,Sr,err,Mn,err,Y,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps],88,[cps],55,[cps],89,[cps]
B22-3,0.0564,344.3,150.6,,0.0552,0.0013453624,88686.37734375,1467.0610399948,69278.766875,1056.5999223563,4672634.3403125,212405.200750482,61731229.0560156,3526139.70239071,665954.15234375,532651.134432381,103360.071484375,15480.3285120905,169453.28453125,1756.2202469697,170424.92921875,2190.0639062636,198246.7340625,2193.9258643092,4186958.05609375,117840.201002388,3350314.535,154724.414638484,6981261.27773437,229159.997128566
B22-4,0.0561,286.6,167.9,,0.0892,0.001421267,126701.494375,1975.7663370898,66882.86953125,958.4813767431,4013536.92671875,154123.637224591,52188920.0532031,3605885.00088037,667384.92109375,263861.828186865,92328.995234375,13941.5444206917,216681.429375,2415.0318207788,169902.9078125,2884.087040949,197031.65265625,2634.455469353,3507379.50734375,67938.98579691,2728252.10984375,94396.0936438861,6332218.73476562,151179.240003883
B22-5,0.0566,292.7,171.3,,0.0296,0.0013453624,71277.8646875,1249.9073715813,11416.7046875,299.228239712,4492962.0040625,231574.173782817,59423983.3497656,4422755.25897232,586581.90015625,280472.391116547,98895.484609375,15790.6721601852,88221.2146875,1255.7855487278,170887.74234375,2507.1482242407,191883.07609375,2569.5381233745,4209220.544375,120490.246485395,2603844.82171875,95479.1660581091,3733918.62148438,97472.7847393737
B22-6,0.0576,314.7,157.9,,0.0654,0.0013453624,119619.60390625,1477.9175897548,37011.17390625,571.295832296,3800489.49015625,133345.187509718,49299006.9033594,3338290.84855368,593807.52765625,278469.967071795,75613.4199218752,15202.0090586469,121068.28359375,1356.1449598529,174578.86484375,2201.5966253319,203792.30171875,2453.148496497,3619756.21875,114248.891770992,1976817.51640625,73019.792020933,4381314.63226562,148028.682414144
B22-7,0.057,356.9,167.7,,0.1158,0.0015811388,161614.22421875,2097.7830535182,111297.53625,1899.053745178,7017352.18421875,303986.646746667,90878350.1186719,6027635.34556765,994582.66890625,275194.647796337,149538.154609375,17314.5672643129,201026.38,2217.9201133824,172789.950625,2446.5253752994,198845.6934375,2269.5536445834,7137509.47734375,161781.955655203,4159131.64609375,150068.701471558,10056776.2150781,241916.865384916
B1-1,0.0592,183.2,72.9,,0.1167,0.0015811388,59295.2140625,1105.5024513663,83561.33015625,1228.8716870824,570442.3290625,32255.6257662499,7239887.84773438,414238.658213875,660970.78734375,261129.730178961,120084.748515625,17537.3912499156,127912.2225,1610.0481344318,179629.92359375,2568.5458665979,210375.99171875,2613.4187339912,197883.634375,10986.931828149,2164516.601875,67313.6831643256,8090448.52164063,243991.35907479
B1-2,0.0554,206.5,75.7,,0.1157,0.0015811388,58923.0628125,1085.524584595,69939.04078125,1162.1426781751,690568.75296875,40340.4156927761,9047501.97539062,573220.270778587,640825.743125,254360.467696429,78879.5805468749,15567.3955791429,145171.7584375,1795.1288838058,167945.7140625,2519.6296174068,194314.94609375,2294.9192977266,498655.168125,16290.1826375727,2135485.37,80854.3616993881,8366644.35429688,289634.001636011
B1-3,0.0566,195.5,77.3,,0.1362,0.0014,60330.63234375,1136.2495477314,91752.5746875,1621.38097416,630078.83609375,37143.0291475278,8308216.19242188,446938.42310917,620326.36625,268569.68801179,86687.821171875,15426.5698265451,146248.06171875,1433.5822117777,170678.50078125,2482.4244149949,197188.32875,2207.1447219504,156535.1303125,8827.6929309894,2170220.65203125,142631.287392835,8448842.97601562,249996.882738107
B1-4,0.0564,178.7,80.1,,0.2955,0.0025632011,60200.9225,1081.1758064197,97935.624375,1502.4879919895,670146.11859375,36992.8465406322,8889619.91585937,556861.142042714,658040.773125,256879.765765696,66333.7963281251,14297.9878057559,159833.7440625,1815.4141674645,172369.00703125,2622.2115581685,201519.28,2250.4147783824,106261.3184375,7604.8190480083,2184910.08734375,72393.442234895,8489059.70117188,240924.91956637
B1-5,0.0551,190.9,78.3,,0.061,0.0013453624,38288.663125,749.9260377306,30131.308125,671.8064994177,583563.57015625,24507.5071342475,7346730.90445313,410549.519160122,561027.973593751,246344.372039116,68376.088828125,14572.5761393489,107052.69,1501.2067043432,167434.38234375,1802.798190836,196526.27828125,2359.5924858806,220390.80953125,11224.5092738898,1953297.679375,74039.3635405255,5001880.36242188,161413.413663194
